房产编号,房产名称,房产楼盘,房产地址,房产城市,房产类型,产权面积,使用面积,竣工日期,产权年限,备注
0000001,近地铁多层装修套二全带满二无贷,世纪光华,温江－温江城区－南熏大道一段3号,成都,住宅,76,70,2008-01-20,70,
0000002,拥金一个点近一号地铁大套四三面采光包更名住宅,中德英伦联邦B区,高新区－南延线－梓州大道5500号,成都,住宅,155,130,2016-02-28,70,
0000003,天府新区和泓麓江府豪华空中别墅东看麓湖西看锦江,和泓麓江府,天府新区－秦皇寺－大安路1458号,成都,住宅,160,0,2017-05-09,70,
0000004,天府逸家一期3室1厅,天府逸家,龙泉驿－大面－金槐街158号,成都,住宅,150,140,2017-05-06,70,
0000005,精装现房跃层可按揭对中庭八里庄博文时代锦汇,时代锦汇华庭,成华－八里庄－双建路45号,成都,住宅,89,80,2015-04-22,70,
0000006,星雅俊园三圣乡4A级风景区龙湖天璞人居东城花卉,俊发星雅俊园,锦江－三圣乡－牡丹街39号,成都,住宅,86,80,2016-07-22,70,
0000007,恒大豪华装修,恒大御景半岛,金堂－金堂－金凤路555号,成都,住宅,136,120,2013-07-30,70,
0000008,世纪百合，武侯新城唯一在售，水电气三通，LOFT公寓,世纪百合尚寓,武侯－簇桥－武侯大道铁佛段289号,成都,住宅,51,49,2018-01-22,70,
0000009,清水大套二，明厨明卫，超大阳台,西区银座,郫都－郫筒－和顺二巷19号,成都,住宅,79,70,2010-01-22,70,
0000010,南北通透清水,保利花园三期,武侯－簇桥－聚贤路777号,成都,住宅,112,100,2013-07-31,70,
0000011,独栋商铺 新界对面 锦都名座  共计3层 全业态 有燃气,双楠港汇广场,双楠港汇广场新界对面,成都,商铺,889,2000,2015-03-01,70,
0000012,中海兰庭套二 雅颂居保利 高新校区七中 铁像寺水街 环球中心,中海兰庭,中海兰庭,成都,商铺,89,1000,2017-05-05,70,
0000013,商铺芦笋价出租 早教 保育 针灸 医馆 衣服 都可以开铺,保利玫瑰花语,保利玫瑰花语,成都,商铺,57,50,2016-09-21,70,
0000014,金牛万达A区车位A2110,金牛万达广场a组团,金牛万达广场a组团,成都,车位,20,16,2019-05-21,70,
0000015,东三环跃层写字楼车位HB20,万科魅力之城,万科魅力之城(商住楼),成都,车位,16,14,2018-06-21,70,
0000016,新出真实在售温江江安河畔叠拼别墅带车库寻有缘人,春天大道,温江－光华新城－光华大道三段118号,成都,别墅,309,280,2009-06-09,,
0000017,爱琴海公园旁3.6米轻奢公寓地铁口配套成熟新盘支持按揭,香山长岛,成华－槐树店－长融东三路155号,成都,别墅,51,49,2015-07-11,,
